pid,group,matrix_name,condition,response
14,AI,FAVvsMJP,together,0
14,AI,MDvsMIP/MJP,together,4
14,AI,FAVvsP,together,2
14,AI,FAVvsP,together,3
15,AI,FAVvsMJP,together,11
15,AI,FAVvsP,together,12
15,AI,FAVvsP,opposed,1
15,AI,FAVvsP,together,10
15,AI,MDvsMIP/MJP,together,9
15,AI,FAVvsMJP,together,12
15,AI,MDvsMIP/MJP,together,11
15,AI,MDvsMIP/MJP,opposed,12
15,AI,FAVvsMJP,opposed,2
15,AI,FAVvsP,opposed,0
15,AI,MDvsMIP/MJP,opposed,6
15,AI,FAVvsMJP,opposed,9
16,AI,FAVvsMJP,opposed,12
16,AI,FAVvsP,opposed,0
16,AI,FAVvsMJP,together,6
16,AI,FAVvsP,together,0
16,AI,MDvsMIP/MJP,opposed,8
16,AI,MDvsMIP/MJP,together,4
16,AI,FAVvsMJP,together,5
16,AI,FAVvsP,together,0
16,AI,MDvsMIP/MJP,opposed,0
16,AI,MDvsMIP/MJP,together,6
16,AI,FAVvsMJP,opposed,6
16,AI,FAVvsP,opposed,0
17,AI,FAVvsMJP,opposed,8
17,AI,MDvsMIP/MJP,opposed,1
17,AI,FAVvsP,together,10
17,AI,FAVvsMJP,together,5
17,AI,MDvsMIP/MJP,together,6
17,AI,FAVvsP,together,4
17,AI,FAVvsP,opposed,9
17,AI,FAVvsMJP,opposed,4
17,AI,MDvsMIP/MJP,opposed,7
17,AI,MDvsMIP/MJP,together,7
17,AI,FAVvsP,opposed,3
17,AI,FAVvsMJP,together,9
18,AI,FAVvsMJP,opposed,5
18,AI,MDvsMIP/MJP,together,6
18,AI,FAVvsMJP,together,2
18,AI,FAVvsP,together,0
18,AI,MDvsMIP/MJP,together,2
18,AI,FAVvsP,together,0
18,AI,MDvsMIP/MJP,opposed,10
18,AI,MDvsMIP/MJP,opposed,9
18,AI,FAVvsMJP,together,5
18,AI,FAVvsP,opposed,1
18,AI,FAVvsMJP,opposed,7
18,AI,FAVvsP,opposed,6
19,AI,FAVvsMJP,opposed,12
19,AI,FAVvsP,together,0
19,AI,MDvsMIP/MJP,opposed,0
19,AI,MDvsMIP/MJP,together,0
19,AI,FAVvsMJP,together,0
19,AI,MDvsMIP/MJP,opposed,0
19,AI,FAVvsP,opposed,12
19,AI,FAVvsMJP,opposed,12
19,AI,FAVvsP,opposed,12
19,AI,FAVvsP,together,0
19,AI,FAVvsMJP,together,0
19,AI,MDvsMIP/MJP,together,0
20,AI,MDvsMIP/MJP,opposed,8
20,AI,FAVvsP,opposed,3
20,AI,FAVvsP,together,0
20,AI,MDvsMIP/MJP,opposed,9
20,AI,MDvsMIP/MJP,together,0
20,AI,FAVvsP,opposed,4
20,AI,FAVvsMJP,together,2
20,AI,FAVvsMJP,opposed,9
20,AI,MDvsMIP/MJP,together,2
20,AI,FAVvsMJP,opposed,8
20,AI,FAVvsMJP,together,5
20,AI,FAVvsP,together,0
21,AI,MDvsMIP/MJP,opposed,5
21,AI,FAVvsMJP,together,7
21,AI,FAVvsMJP,opposed,8
21,AI,FAVvsMJP,opposed,5
21,AI,MDvsMIP/MJP,together,4
21,AI,FAVvsP,opposed,8
21,AI,FAVvsP,opposed,5
21,AI,FAVvsMJP,together,5
21,AI,FAVvsP,together,6
21,AI,MDvsMIP/MJP,opposed,5
21,AI,FAVvsP,together,4
21,AI,MDvsMIP/MJP,together,5
22,AI,FAVvsP,opposed,8
22,AI,FAVvsMJP,together,0
22,AI,MDvsMIP/MJP,opposed,12
22,AI,FAVvsP,together,0
22,AI,MDvsMIP/MJP,opposed,5
22,AI,FAVvsMJP,opposed,12
22,AI,MDvsMIP/MJP,together,5
22,AI,FAVvsMJP,together,7
22,AI,FAVvsMJP,opposed,8
22,AI,FAVvsP,opposed,7
22,AI,FAVvsP,together,7
22,AI,MDvsMIP/MJP,together,2
23,AI,FAVvsP,together,0
23,AI,MDvsMIP/MJP,together,1
23,AI,FAVvsP,opposed,0
23,AI,MDvsMIP/MJP,opposed,0
23,AI,FAVvsMJP,opposed,0
23,AI,MDvsMIP/MJP,opposed,6
23,AI,FAVvsMJP,together,12
23,AI,FAVvsMJP,opposed,12
23,AI,FAVvsP,together,0
23,AI,FAVvsP,opposed,5
23,AI,MDvsMIP/MJP,together,0
23,AI,FAVvsMJP,together,0
24,AI,FAVvsP,together,0
24,AI,FAVvsP,opposed,2
24,AI,FAVvsMJP,opposed,8
24,AI,FAVvsMJP,together,6
24,AI,FAVvsMJP,opposed,8
24,AI,FAVvsMJP,together,5
24,AI,MDvsMIP/MJP,together,7
24,AI,MDvsMIP/MJP,opposed,7
24,AI,MDvsMIP/MJP,together,6
24,AI,MDvsMIP/MJP,opposed,9
24,AI,FAVvsP,opposed,1
24,AI,FAVvsP,together,0
25,AI,FAVvsP,together,0
25,AI,FAVvsP,opposed,4
25,AI,FAVvsP,together,1
25,AI,FAVvsMJP,opposed,12
25,AI,FAVvsMJP,together,6
25,AI,FAVvsMJP,together,6
25,AI,FAVvsMJP,opposed,9
25,AI,MDvsMIP/MJP,together,2
25,AI,MDvsMIP/MJP,together,4
25,AI,FAVvsP,opposed,4
25,AI,MDvsMIP/MJP,opposed,6
25,AI,MDvsMIP/MJP,opposed,4
26,AI,FAVvsMJP,together,0
26,AI,MDvsMIP/MJP,opposed,2
26,AI,FAVvsP,opposed,4
26,AI,FAVvsMJP,together,5
26,AI,FAVvsMJP,opposed,12
26,AI,FAVvsP,together,0
26,AI,FAVvsP,opposed,6
26,AI,MDvsMIP/MJP,together,2
26,AI,FAVvsMJP,opposed,0
26,AI,MDvsMIP/MJP,together,7
26,AI,FAVvsP,together,12
26,AI,MDvsMIP/MJP,opposed,0
27,AI,MDvsMIP/MJP,opposed,0
27,AI,FAVvsMJP,opposed,11
27,AI,FAVvsP,opposed,10
27,AI,FAVvsMJP,opposed,3
27,AI,FAVvsP,together,3
27,AI,MDvsMIP/MJP,together,4
27,AI,FAVvsP,opposed,0
27,AI,FAVvsP,together,12
27,AI,MDvsMIP/MJP,opposed,0
27,AI,FAVvsMJP,together,0
27,AI,FAVvsMJP,together,0
27,AI,MDvsMIP/MJP,together,0
28,AI,MDvsMIP/MJP,opposed,6
28,AI,FAVvsMJP,opposed,6
28,AI,FAVvsMJP,together,6
28,AI,FAVvsP,opposed,0
28,AI,FAVvsMJP,together,6
28,AI,FAVvsP,together,0
28,AI,FAVvsP,together,0
28,AI,FAVvsMJP,opposed,6
28,AI,FAVvsP,opposed,0
28,AI,MDvsMIP/MJP,together,6
28,AI,MDvsMIP/MJP,together,6
28,AI,MDvsMIP/MJP,opposed,6
