pid,group,condition,pull
62,AI,FAVvsMJP,-0.5
62,AI,MDvsMIP/MJP,-4
62,AI,FAVvsP,-3
63,AI,FAVvsMJP,3
63,AI,MDvsMIP/MJP,-1
63,AI,FAVvsP,0
64,AI,FAVvsMJP,-1.5
64,AI,MDvsMIP/MJP,-2.5
64,AI,FAVvsP,0
65,AI,FAVvsMJP,12
65,AI,MDvsMIP/MJP,0
65,AI,FAVvsP,11.5
66,AI,FAVvsMJP,0.5
66,AI,MDvsMIP/MJP,3.5
66,AI,FAVvsP,3
67,AI,FAVvsMJP,9
67,AI,MDvsMIP/MJP,5
67,AI,FAVvsP,11.5
68,AI,FAVvsMJP,9
68,AI,MDvsMIP/MJP,0
68,AI,FAVvsP,12
69,AI,FAVvsMJP,12
69,AI,MDvsMIP/MJP,6
69,AI,FAVvsP,12
70,AI,FAVvsMJP,3.5
70,AI,MDvsMIP/MJP,0
70,AI,FAVvsP,6
71,AI,FAVvsMJP,3
71,AI,MDvsMIP/MJP,-1.5
71,AI,FAVvsP,4.5
72,AI,FAVvsMJP,6
72,AI,MDvsMIP/MJP,-3
72,AI,FAVvsP,8.5
73,AI,FAVvsMJP,12
73,AI,MDvsMIP/MJP,0
73,AI,FAVvsP,12
74,AI,FAVvsMJP,5.5
74,AI,MDvsMIP/MJP,4.5
74,AI,FAVvsP,3.5
75,AI,FAVvsMJP,4.5
75,AI,MDvsMIP/MJP,3
75,AI,FAVvsP,5
76,AI,FAVvsMJP,8.5
76,AI,MDvsMIP/MJP,1.5
76,AI,FAVvsP,9.5
77,AI,FAVvsMJP,9
77,AI,MDvsMIP/MJP,3
77,AI,FAVvsP,12
78,AI,FAVvsMJP,12
78,AI,MDvsMIP/MJP,12
78,AI,FAVvsP,12
79,AI,FAVvsMJP,6
79,AI,MDvsMIP/MJP,8.5
79,AI,FAVvsP,4
80,AI,FAVvsMJP,-5
80,AI,MDvsMIP/MJP,-1.5
80,AI,FAVvsP,-4
81,AI,FAVvsMJP,12
81,AI,MDvsMIP/MJP,0
81,AI,FAVvsP,12
82,AI,FAVvsMJP,4
82,AI,MDvsMIP/MJP,4
82,AI,FAVvsP,5
83,AI,FAVvsMJP,1.5
83,AI,MDvsMIP/MJP,2.5
83,AI,FAVvsP,0.5
84,AI,FAVvsMJP,-8
84,AI,MDvsMIP/MJP,-2.5
84,AI,FAVvsP,3
85,AI,FAVvsMJP,-6.5
85,AI,MDvsMIP/MJP,-3
85,AI,FAVvsP,-8.5
86,AI,FAVvsMJP,9
86,AI,MDvsMIP/MJP,0
86,AI,FAVvsP,0
87,AI,FAVvsMJP,1.5
87,AI,MDvsMIP/MJP,0.5
87,AI,FAVvsP,1.5
88,AI,FAVvsMJP,1
88,AI,MDvsMIP/MJP,-2.5
88,AI,FAVvsP,1.5
89,AI,FAVvsMJP,-4
89,AI,MDvsMIP/MJP,2.5
89,AI,FAVvsP,-6
90,AI,FAVvsMJP,0
90,AI,MDvsMIP/MJP,-1.5
90,AI,FAVvsP,2
91,AI,FAVvsMJP,-9.5
91,AI,MDvsMIP/MJP,0
91,AI,FAVvsP,-5.5
92,AI,FAVvsMJP,7
92,AI,MDvsMIP/MJP,3.5
92,AI,FAVvsP,3.5
93,AI,FAVvsMJP,1.5
93,AI,MDvsMIP/MJP,-3
93,AI,FAVvsP,0
94,AI,FAVvsMJP,12
94,AI,MDvsMIP/MJP,-1.5
94,AI,FAVvsP,12
95,AI,FAVvsMJP,1.5
95,AI,MDvsMIP/MJP,2
95,AI,FAVvsP,0.5
249,AI,FAVvsMJP,9
249,AI,MDvsMIP/MJP,9
249,AI,FAVvsP,10.5
250,AI,FAVvsMJP,11
250,AI,MDvsMIP/MJP,3.5
250,AI,FAVvsP,3
251,AI,FAVvsMJP,12
251,AI,MDvsMIP/MJP,0
251,AI,FAVvsP,12
252,AI,FAVvsMJP,3
252,AI,MDvsMIP/MJP,4.5
252,AI,FAVvsP,7
253,AI,FAVvsMJP,2
253,AI,MDvsMIP/MJP,3
253,AI,FAVvsP,-3.5
254,AI,FAVvsMJP,0.5
254,AI,MDvsMIP/MJP,1.5
254,AI,FAVvsP,0
255,AI,FAVvsMJP,12
255,AI,MDvsMIP/MJP,0
255,AI,FAVvsP,12
256,AI,FAVvsMJP,-1
256,AI,MDvsMIP/MJP,-7
256,AI,FAVvsP,-4.5
257,AI,FAVvsMJP,2
257,AI,MDvsMIP/MJP,-2
257,AI,FAVvsP,0
258,AI,FAVvsMJP,3.5
258,AI,MDvsMIP/MJP,-1.5
258,AI,FAVvsP,4
259,AI,FAVvsMJP,4.5
259,AI,MDvsMIP/MJP,5
259,AI,FAVvsP,3
260,AI,FAVvsMJP,6
260,AI,MDvsMIP/MJP,0
260,AI,FAVvsP,0
261,AI,FAVvsMJP,2
261,AI,MDvsMIP/MJP,5.5
261,AI,FAVvsP,3
262,AI,FAVvsMJP,11.5
262,AI,MDvsMIP/MJP,1
262,AI,FAVvsP,11.5
263,AI,FAVvsMJP,2.5
263,AI,MDvsMIP/MJP,-0.5
263,AI,FAVvsP,2.5
264,AI,FAVvsMJP,3
264,AI,MDvsMIP/MJP,2.5
264,AI,FAVvsP,-2
265,AI,FAVvsMJP,3
265,AI,MDvsMIP/MJP,3
265,AI,FAVvsP,-6
266,AI,FAVvsMJP,1
266,AI,MDvsMIP/MJP,0
266,AI,FAVvsP,0
267,AI,FAVvsMJP,1
267,AI,MDvsMIP/MJP,-3
267,AI,FAVvsP,0
268,AI,FAVvsMJP,0.5
268,AI,MDvsMIP/MJP,0
268,AI,FAVvsP,0
269,AI,FAVvsMJP,3.5
269,AI,MDvsMIP/MJP,-0.5
269,AI,FAVvsP,0
270,AI,FAVvsMJP,2
270,AI,MDvsMIP/MJP,4.5
270,AI,FAVvsP,7.5
271,AI,FAVvsMJP,1.5
271,AI,MDvsMIP/MJP,4.5
271,AI,FAVvsP,4
272,AI,FAVvsMJP,0.5
272,AI,MDvsMIP/MJP,0.5
272,AI,FAVvsP,0
273,AI,FAVvsMJP,0
273,AI,MDvsMIP/MJP,0
273,AI,FAVvsP,6
274,AI,FAVvsMJP,8.5
274,AI,MDvsMIP/MJP,1
274,AI,FAVvsP,3.5
275,AI,FAVvsMJP,-2.5
275,AI,MDvsMIP/MJP,6
275,AI,FAVvsP,0
276,AI,FAVvsMJP,3
276,AI,MDvsMIP/MJP,-2.5
276,AI,FAVvsP,6
277,AI,FAVvsMJP,-1.5
277,AI,MDvsMIP/MJP,3
277,AI,FAVvsP,-0.5
278,AI,FAVvsMJP,12
278,AI,MDvsMIP/MJP,0
278,AI,FAVvsP,12
279,AI,FAVvsMJP,-6
279,AI,MDvsMIP/MJP,-1
279,AI,FAVvsP,-6.5
280,AI,FAVvsMJP,2
280,AI,MDvsMIP/MJP,-1.5
280,AI,FAVvsP,2
281,AI,FAVvsMJP,8.5
281,AI,MDvsMIP/MJP,0
281,AI,FAVvsP,8.5
282,AI,FAVvsMJP,-1
282,AI,MDvsMIP/MJP,-1
282,AI,FAVvsP,0
283,AI,FAVvsMJP,-1
283,AI,MDvsMIP/MJP,-1.5
283,AI,FAVvsP,-3
284,AI,FAVvsMJP,2
284,AI,MDvsMIP/MJP,0.5
284,AI,FAVvsP,-7.5
285,AI,FAVvsMJP,12
285,AI,MDvsMIP/MJP,0
