pid,group,condition,pull
157,Human,MDvsMIP/MJP,2.5
157,Human,FAVvsP,6.5
158,Human,FAVvsMJP,4
158,Human,MDvsMIP/MJP,2
158,Human,FAVvsP,4.5
159,Human,FAVvsMJP,-8.5
159,Human,MDvsMIP/MJP,5
159,Human,FAVvsP,4
160,Human,FAVvsMJP,12
160,Human,MDvsMIP/MJP,0
160,Human,FAVvsP,12
161,Human,FAVvsMJP,0
161,Human,MDvsMIP/MJP,4.5
161,Human,FAVvsP,-2
162,Human,FAVvsMJP,-1
162,Human,MDvsMIP/MJP,0
162,Human,FAVvsP,-7
163,Human,FAVvsMJP,6
163,Human,MDvsMIP/MJP,0
163,Human,FAVvsP,0
164,Human,FAVvsMJP,0
164,Human,MDvsMIP/MJP,1.5
164,Human,FAVvsP,1
165,Human,FAVvsMJP,-2
165,Human,MDvsMIP/MJP,0
165,Human,FAVvsP,3
166,Human,FAVvsMJP,7.5
166,Human,MDvsMIP/MJP,2.5
166,Human,FAVvsP,3.5
167,Human,FAVvsMJP,-9
167,Human,MDvsMIP/MJP,-3.5
167,Human,FAVvsP,-1.5
168,Human,FAVvsMJP,-8
168,Human,MDvsMIP/MJP,9
168,Human,FAVvsP,-6
169,Human,FAVvsMJP,8
169,Human,MDvsMIP/MJP,0
169,Human,FAVvsP,7.5
170,Human,FAVvsMJP,8.5
170,Human,MDvsMIP/MJP,-1.5
170,Human,FAVvsP,1
171,Human,FAVvsMJP,0
171,Human,MDvsMIP/MJP,0
171,Human,FAVvsP,0
172,Human,FAVvsMJP,1
172,Human,MDvsMIP/MJP,2
172,Human,FAVvsP,0.5
173,Human,FAVvsMJP,0
173,Human,MDvsMIP/MJP,0
173,Human,FAVvsP,0
174,Human,FAVvsMJP,6
174,Human,MDvsMIP/MJP,3
174,Human,FAVvsP,0
175,Human,FAVvsMJP,0
175,Human,MDvsMIP/MJP,0
175,Human,FAVvsP,4
176,Human,FAVvsMJP,0.5
176,Human,MDvsMIP/MJP,0.5
176,Human,FAVvsP,-1
177,Human,FAVvsMJP,2
177,Human,MDvsMIP/MJP,5
177,Human,FAVvsP,1.5
178,Human,FAVvsMJP,3
178,Human,MDvsMIP/MJP,3
178,Human,FAVvsP,5
