pid,condition,pull
62,AI_FAVvsMJP,-0.5
62,AI_MDvsMIP/MJP,-4
62,AI_FAVvsP,-3
63,AI_FAVvsMJP,3
63,AI_MDvsMIP/MJP,-1
63,AI_FAVvsP,0
64,AI_FAVvsMJP,-1.5
64,AI_MDvsMIP/MJP,-2.5
64,AI_FAVvsP,0
65,AI_FAVvsMJP,12
65,AI_MDvsMIP/MJP,0
65,AI_FAVvsP,11.5
66,AI_FAVvsMJP,0.5
66,AI_MDvsMIP/MJP,3.5
66,AI_FAVvsP,3
67,AI_FAVvsMJP,9
67,AI_MDvsMIP/MJP,5
67,AI_FAVvsP,11.5
68,AI_FAVvsMJP,9
68,AI_MDvsMIP/MJP,0
68,AI_FAVvsP,12
69,AI_FAVvsMJP,12
69,AI_MDvsMIP/MJP,6
69,AI_FAVvsP,12
70,AI_FAVvsMJP,3.5
70,AI_MDvsMIP/MJP,0
70,AI_FAVvsP,6
71,AI_FAVvsMJP,3
71,AI_MDvsMIP/MJP,-1.5
71,AI_FAVvsP,4.5
72,AI_FAVvsMJP,6
72,AI_MDvsMIP/MJP,-3
72,AI_FAVvsP,8.5
73,AI_FAVvsMJP,12
73,AI_MDvsMIP/MJP,0
73,AI_FAVvsP,12
74,AI_FAVvsMJP,5.5
74,AI_MDvsMIP/MJP,4.5
74,AI_FAVvsP,3.5
75,AI_FAVvsMJP,4.5
75,AI_MDvsMIP/MJP,3
75,AI_FAVvsP,5
76,AI_FAVvsMJP,8.5
76,AI_MDvsMIP/MJP,1.5
76,AI_FAVvsP,9.5
77,AI_FAVvsMJP,9
77,AI_MDvsMIP/MJP,3
77,AI_FAVvsP,12
78,AI_FAVvsMJP,12
78,AI_MDvsMIP/MJP,12
78,AI_FAVvsP,12
79,AI_FAVvsMJP,6
79,AI_MDvsMIP/MJP,8.5
79,AI_FAVvsP,4
80,AI_FAVvsMJP,-5
80,AI_MDvsMIP/MJP,-1.5
80,AI_FAVvsP,-4
81,AI_FAVvsMJP,12
81,AI_MDvsMIP/MJP,0
81,AI_FAVvsP,12
82,AI_FAVvsMJP,4
82,AI_MDvsMIP/MJP,4
82,AI_FAVvsP,5
83,AI_FAVvsMJP,1.5
83,AI_MDvsMIP/MJP,2.5
83,AI_FAVvsP,0.5
84,AI_FAVvsMJP,-8
84,AI_MDvsMIP/MJP,-2.5
84,AI_FAVvsP,3
85,AI_FAVvsMJP,-6.5
85,AI_MDvsMIP/MJP,-3
85,AI_FAVvsP,-8.5
86,AI_FAVvsMJP,9
86,AI_MDvsMIP/MJP,0
86,AI_FAVvsP,0
87,AI_FAVvsMJP,1.5
87,AI_MDvsMIP/MJP,0.5
87,AI_FAVvsP,1.5
88,AI_FAVvsMJP,1
88,AI_MDvsMIP/MJP,-2.5
88,AI_FAVvsP,1.5
89,AI_FAVvsMJP,-4
89,AI_MDvsMIP/MJP,2.5
89,AI_FAVvsP,-6
90,AI_FAVvsMJP,0
90,AI_MDvsMIP/MJP,-1.5
90,AI_FAVvsP,2
91,AI_FAVvsMJP,-9.5
91,AI_MDvsMIP/MJP,0
91,AI_FAVvsP,-5.5
92,AI_FAVvsMJP,7
92,AI_MDvsMIP/MJP,3.5
92,AI_FAVvsP,3.5
93,AI_FAVvsMJP,1.5
93,AI_MDvsMIP/MJP,-3
93,AI_FAVvsP,0
94,AI_FAVvsMJP,12
94,AI_MDvsMIP/MJP,-1.5
94,AI_FAVvsP,12
95,AI_FAVvsMJP,1.5
95,AI_MDvsMIP/MJP,2
95,AI_FAVvsP,0.5
96,Human_FAVvsMJP,6
96,Human_MDvsMIP/MJP,0
96,Human_FAVvsP,6
97,Human_FAVvsMJP,0
97,Human_MDvsMIP/MJP,0
97,Human_FAVvsP,0
98,Human_FAVvsMJP,12
98,Human_MDvsMIP/MJP,6
98,Human_FAVvsP,12
99,Human_FAVvsMJP,12
99,Human_MDvsMIP/MJP,7
99,Human_FAVvsP,11.5
100,Human_FAVvsMJP,3.5
100,Human_MDvsMIP/MJP,0
100,Human_FAVvsP,3
101,Human_FAVvsMJP,0.5
101,Human_MDvsMIP/MJP,0
101,Human_FAVvsP,-1.5
102,Human_FAVvsMJP,-3.5
102,Human_MDvsMIP/MJP,0.5
102,Human_FAVvsP,-6
103,Human_FAVvsMJP,3
103,Human_MDvsMIP/MJP,0
103,Human_FAVvsP,3
104,Human_FAVvsMJP,10
104,Human_MDvsMIP/MJP,-3.5
104,Human_FAVvsP,5.5
105,Human_FAVvsMJP,9.5
105,Human_MDvsMIP/MJP,1
105,Human_FAVvsP,6
106,Human_FAVvsMJP,2.5
106,Human_MDvsMIP/MJP,-2.5
106,Human_FAVvsP,2.5
107,Human_FAVvsMJP,0.5
107,Human_MDvsMIP/MJP,0.5
107,Human_FAVvsP,1
108,Human_FAVvsMJP,5.5
108,Human_MDvsMIP/MJP,2
108,Human_FAVvsP,7.5
109,Human_FAVvsMJP,4.5
109,Human_MDvsMIP/MJP,2.5
109,Human_FAVvsP,6
110,Human_FAVvsMJP,-0.5
110,Human_MDvsMIP/MJP,-3
110,Human_FAVvsP,2
111,Human_FAVvsMJP,8.5
111,Human_MDvsMIP/MJP,-2.5
111,Human_FAVvsP,8
112,Human_FAVvsMJP,3
112,Human_MDvsMIP/MJP,4.5
112,Human_FAVvsP,1
113,Human_FAVvsMJP,6
113,Human_MDvsMIP/MJP,-6
113,Human_FAVvsP,8
114,Human_FAVvsMJP,4.5
114,Human_MDvsMIP/MJP,2.5
114,Human_FAVvsP,2.5
115,Human_FAVvsMJP,1.5
115,Human_MDvsMIP/MJP,3
115,Human_FAVvsP,2
116,Human_FAVvsMJP,3
116,Human_MDvsMIP/MJP,-1.5
116,Human_FAVvsP,1.5
117,Human_FAVvsMJP,4.5
117,Human_MDvsMIP/MJP,0
117,Human_FAVvsP,3
118,Human_FAVvsMJP,5.5
118,Human_MDvsMIP/MJP,1.5
118,Human_FAVvsP,0
119,Human_FAVvsMJP,12
119,Human_MDvsMIP/MJP,-1
119,Human_FAVvsP,10
120,Human_FAVvsMJP,7.5
120,Human_MDvsMIP/MJP,4
120,Human_FAVvsP,5.5
121,Human_FAVvsMJP,3.5
121,Human_MDvsMIP/MJP,0
121,Human_FAVvsP,5.5
122,Human_FAVvsMJP,3
122,Human_MDvsMIP/MJP,0
122,Human_FAVvsP,6
123,Human_FAVvsMJP,10
123,Human_MDvsMIP/MJP,0
123,Human_FAVvsP,11
124,Human_FAVvsMJP,0.5
124,Human_MDvsMIP/MJP,0
124,Human_FAVvsP,1.5
125,Human_FAVvsMJP,0.5
125,Human_MDvsMIP/MJP,0
125,Human_FAVvsP,-1
126,Human_FAVvsMJP,3.5
126,Human_MDvsMIP/MJP,0.5
126,Human_FAVvsP,2.5
127,Human_FAVvsMJP,12
127,Human_MDvsMIP/MJP,0
127,Human_FAVvsP,12
128,Human_FAVvsMJP,6
128,Human_MDvsMIP/MJP,3
128,Human_FAVvsP,12
129,Human_FAVvsMJP,6
129,Human_MDvsMIP/MJP,0
129,Human_FAVvsP,0
130,Human_FAVvsMJP,-1.5
130,Human_MDvsMIP/MJP,4.5
130,Human_FAVvsP,-1
131,Human_FAVvsMJP,3
131,Human_MDvsMIP/MJP,0.5
131,Human_FAVvsP,0
132,Human_FAVvsMJP,4
132,Human_MDvsMIP/MJP,2.5
