group,matrix_name,n,pull,sd,sem
Human,FAVvsMJP,249,3.4738955823293174,4.937545557684939,0.31290423579743537
Human,MDvsMIP/MJP,249,0.9397590361445783,3.1396247371444552,0.1989656333474981
Human,FAVvsP,249,3.285140562248996,5.222568511294283,0.33096683156327084
AI,FAVvsMJP,251,3.4641434262948207,5.296292020210613,0.3342989880328496
AI,MDvsMIP/MJP,251,1.2569721115537849,3.616448699376105,0.22826821781365272
AI,FAVvsP,251,3.043824701195219,5.491636524128979,0.34662902378776855
