pid,group,matrix_name,condition,n,mean,sd,sem
15,AI,FAVvsMJP,together,2,11.5,0.7071067811865476,0.5
15,AI,FAVvsMJP,opposed,2,5.5,4.949747468305833,3.4999999999999996
15,AI,MDvsMIP/MJP,together,2,10,1.4142135623730951,1
15,AI,MDvsMIP/MJP,opposed,2,9,4.242640687119285,2.9999999999999996
15,AI,FAVvsP,together,2,11,1.4142135623730951,1
15,AI,FAVvsP,opposed,2,0.5,0.7071067811865476,0.5
16,AI,FAVvsMJP,together,2,5.5,0.7071067811865476,0.5
16,AI,FAVvsMJP,opposed,2,9,4.242640687119285,2.9999999999999996
16,AI,MDvsMIP/MJP,together,2,5,1.4142135623730951,1
16,AI,MDvsMIP/MJP,opposed,2,4,5.656854249492381,4
16,AI,FAVvsP,together,2,0,0,0
16,AI,FAVvsP,opposed,2,0,0,0
17,AI,FAVvsMJP,together,2,7,2.8284271247461903,2
17,AI,FAVvsMJP,opposed,2,6,2.8284271247461903,2
17,AI,MDvsMIP/MJP,together,2,6.5,0.7071067811865476,0.5
17,AI,MDvsMIP/MJP,opposed,2,4,4.242640687119285,2.9999999999999996
17,AI,FAVvsP,together,2,7,4.242640687119285,2.9999999999999996
17,AI,FAVvsP,opposed,2,6,4.242640687119285,2.9999999999999996
18,AI,FAVvsMJP,together,2,3.5,2.1213203435596424,1.4999999999999998
18,AI,FAVvsMJP,opposed,2,6,1.4142135623730951,1
18,AI,MDvsMIP/MJP,together,2,4,2.8284271247461903,2
18,AI,MDvsMIP/MJP,opposed,2,9.5,0.7071067811865476,0.5
18,AI,FAVvsP,together,2,0,0,0
18,AI,FAVvsP,opposed,2,3.5,3.5355339059327378,2.5
19,AI,FAVvsMJP,together,2,0,0,0
19,AI,FAVvsMJP,opposed,2,12,0,0
19,AI,MDvsMIP/MJP,together,2,0,0,0
19,AI,MDvsMIP/MJP,opposed,2,0,0,0
19,AI,FAVvsP,together,2,0,0,0
19,AI,FAVvsP,opposed,2,12,0,0
20,AI,FAVvsMJP,together,2,3.5,2.1213203435596424,1.4999999999999998
20,AI,FAVvsMJP,opposed,2,8.5,0.7071067811865476,0.5
20,AI,MDvsMIP/MJP,together,2,1,1.4142135623730951,1
20,AI,MDvsMIP/MJP,opposed,2,8.5,0.7071067811865476,0.5
20,AI,FAVvsP,together,2,0,0,0
20,AI,FAVvsP,opposed,2,3.5,0.7071067811865476,0.5
21,AI,FAVvsMJP,together,2,6,1.4142135623730951,1
21,AI,FAVvsMJP,opposed,2,6.5,2.1213203435596424,1.4999999999999998
21,AI,MDvsMIP/MJP,together,2,4.5,0.7071067811865476,0.5
21,AI,MDvsMIP/MJP,opposed,2,5,0,0
21,AI,FAVvsP,together,2,5,1.4142135623730951,1
21,AI,FAVvsP,opposed,2,6.5,2.1213203435596424,1.4999999999999998
22,AI,FAVvsMJP,together,2,3.5,4.949747468305833,3.4999999999999996
22,AI,FAVvsMJP,opposed,2,10,2.8284271247461903,2
22,AI,MDvsMIP/MJP,together,2,3.5,2.1213203435596424,1.4999999999999998
22,AI,MDvsMIP/MJP,opposed,2,8.5,4.949747468305833,3.4999999999999996
22,AI,FAVvsP,together,2,3.5,4.949747468305833,3.4999999999999996
22,AI,FAVvsP,opposed,2,7.5,0.7071067811865476,0.5
23,AI,FAVvsMJP,together,2,6,8.48528137423857,5.999999999999999
23,AI,FAVvsMJP,opposed,2,6,8.48528137423857,5.999999999999999
23,AI,MDvsMIP/MJP,together,2,0.5,0.7071067811865476,0.5
23,AI,MDvsMIP/MJP,opposed,2,3,4.242640687119285,2.9999999999999996
23,AI,FAVvsP,together,2,0,0,0
23,AI,FAVvsP,opposed,2,2.5,3.5355339059327378,2.5
24,AI,FAVvsMJP,together,2,5.5,0.7071067811865476,0.5
24,AI,FAVvsMJP,opposed,2,8,0,0
24,AI,MDvsMIP/MJP,together,2,6.5,0.7071067811865476,0.5
24,AI,MDvsMIP/MJP,opposed,2,8,1.4142135623730951,1
24,AI,FAVvsP,together,2,0,0,0
24,AI,FAVvsP,opposed,2,1.5,0.7071067811865476,0.5
25,AI,FAVvsMJP,together,2,6,0,0
25,AI,FAVvsMJP,opposed,2,10.5,2.1213203435596424,1.4999999999999998
25,AI,MDvsMIP/MJP,together,2,3,1.4142135623730951,1
25,AI,MDvsMIP/MJP,opposed,2,5,1.4142135623730951,1
25,AI,FAVvsP,together,2,0.5,0.7071067811865476,0.5
25,AI,FAVvsP,opposed,2,4,0,0
26,AI,FAVvsMJP,together,2,2.5,3.5355339059327378,2.5
26,AI,FAVvsMJP,opposed,2,6,8.48528137423857,5.999999999999999
26,AI,MDvsMIP/MJP,together,2,4.5,3.5355339059327378,2.5
26,AI,MDvsMIP/MJP,opposed,2,1,1.4142135623730951,1
26,AI,FAVvsP,together,2,6,8.48528137423857,5.999999999999999
26,AI,FAVvsP,opposed,2,5,1.4142135623730951,1
27,AI,FAVvsMJP,together,2,0,0,0
27,AI,FAVvsMJP,opposed,2,7,5.656854249492381,4
27,AI,MDvsMIP/MJP,together,2,2,2.8284271247461903,2
27,AI,MDvsMIP/MJP,opposed,2,0,0,0
27,AI,FAVvsP,together,2,7.5,6.363961030678928,4.5
27,AI,FAVvsP,opposed,2,5,7.0710678118654755,5
28,AI,FAVvsMJP,together,2,6,0,0
28,AI,FAVvsMJP,opposed,2,6,0,0
28,AI,MDvsMIP/MJP,together,2,6,0,0
28,AI,MDvsMIP/MJP,opposed,2,6,0,0
28,AI,FAVvsP,together,2,0,0,0
28,AI,FAVvsP,opposed,2,0,0,0
29,AI,FAVvsMJP,together,2,6,0,0
29,AI,FAVvsMJP,opposed,2,6,0,0
29,AI,MDvsMIP/MJP,together,2,6,0,0
29,AI,MDvsMIP/MJP,opposed,2,6,0,0
29,AI,FAVvsP,together,2,0,0,0
29,AI,FAVvsP,opposed,2,0,0,0
30,AI,FAVvsMJP,together,2,6,0,0
30,AI,FAVvsMJP,opposed,2,6,0,0
30,AI,MDvsMIP/MJP,together,2,6,0,0
30,AI,MDvsMIP/MJP,opposed,2,6,0,0
30,AI,FAVvsP,together,2,6,0,0
30,AI,FAVvsP,opposed,2,6,0,0
31,AI,FAVvsMJP,together,2,7,4.242640687119285,2.9999999999999996
31,AI,FAVvsMJP,opposed,2,6.5,2.1213203435596424,1.4999999999999998
31,AI,MDvsMIP/MJP,together,2,3.5,4.949747468305833,3.4999999999999996
31,AI,MDvsMIP/MJP,opposed,2,7.5,2.1213203435596424,1.4999999999999998
31,AI,FAVvsP,together,2,5.5,4.949747468305833,3.4999999999999996
31,AI,FAVvsP,opposed,2,8.5,4.949747468305833,3.4999999999999996
32,AI,FAVvsMJP,together,2,4,5.656854249492381,4
32,AI,FAVvsMJP,opposed,2,8.5,0.7071067811865476,0.5
32,AI,MDvsMIP/MJP,together,2,2.5,2.1213203435596424,1.4999999999999998
32,AI,MDvsMIP/MJP,opposed,2,8.5,2.1213203435596424,1.4999999999999998
32,AI,FAVvsP,together,2,4,0,0
